Address,Count,Last executed,API Name (if instruction begins it)
753c0623,1,232833,
753c0624,1,232834,
753c0626,1,232835,
753c0627,1,232836,
753c062c,1,232837,
753c0631,1,232838,
753c0632,1,232839,
753c0633,1,232840,
773842f0,1,232841,RtlQueryActivationContextApplicationSettings
773842f2,1,232842,
773842f3,1,232843,
773842f5,1,232844,
773842f8,1,232845,
773842fb,1,232846,
77384300,1,232847,
77384301,1,232848,
77384304,1,232849,
77384305,1,232850,
77384306,1,232851,
77384308,1,232852,
7738430c,1,232853,
77384310,1,232854,
77384312,1,232855,
77384314,1,232856,
77384317,1,232857,
77384319,1,232858,
7738431c,1,232859,
77384320,1,232860,
77384321,1,232861,
77384323,1,232862,
77384324,1,232863,
77384325,1,232864,
7738432a,1,232903,
7738432c,1,232904,
7738432e,1,232905,
77384330,1,232906,
77384334,1,232907,
77384338,1,232908,
77384339,1,232909,
7738433d,1,232910,
7738433f,1,232911,
77384340,1,232912,
77384342,1,232913,
7739a767,1,232943,
7739a76a,1,232944,
7739a76f,1,232945,
7739a770,1,232946,
7739a771,1,232947,
7739a773,1,232948,
7739a774,1,232949,
7739a779,1,232953,
7739a77b,1,232954,
7739a77c,1,232955,
77384347,1,232956,
77384349,1,232957,
7738434b,1,232958,
7738434d,1,232959,
77384353,1,232960,
77384355,1,232961,
7738435a,1,232962,
7738435b,1,232963,
7738435d,1,232964,
7738435e,1,232965,
7738435f,1,232966,
77384361,1,232967,
77384362,1,232968,
753c0639,1,232969,
753c063b,1,232970,
753c064d,1,232971,
753c0650,1,232972,
753c0652,1,232973,
753c0654,1,232974,
753c0655,1,232975,
753c065a,1,232979,
753c065b,1,232980,
7536262a,1,232981,
7536262c,1,232982,
7531adfd,1,232983,
7531adff,1,232984,
7531ae05,1,232985,
7531ae08,1,232986,
7531ae0e,1,232987,
7531ae11,1,232988,
7531ae13,1,232989,
7531ae16,1,232990,
7531ae18,1,232991,
773fbe7d,1,232992,
773fbe83,1,232993,
773fbe85,1,232994,
773fbeaa,1,232995,
773fbeb0,1,232996,
773fbeb5,1,232997,
773fbeb8,1,232998,
773fbeba,1,232999,
773fbebb,1,233000,
773fbebd,1,233001,
773fbec3,1,233002,
773fbec4,1,233003,
773fbec6,1,233004,
773fbec8,1,233005,
773c2bc0,1,233006,ZwQueryInformationProcess
773c2bc5,1,233007,
773c2bca,1,233008,
773c2bcb,1,233009,
773c2bcf,1,233010,
